1	勺
2	懒
3	纯
4	悬
5	隆
6	卷
7	迷
8	征
9	舍
10	鴉
11	换
12	」
13	踏
14	郵
15	灯
16	置
17	制
18	鴕
19	钥
20	篇
21	蓄
22	動
23	厉
24	炎
25	H
26	极
27	蟋
28	陷
29	寄
30	來
31	绸
32	匱
33	茲
34	耽
35	語
36	览
37	围
38	巔
39	紡
40	同
41	滑
42	師
43	呼
44	增
45	返
46	褒
47	驾
48	眉
49	遠
50	闭
51	昏
52	撞
53	謀
54	首
55	拽
56	比
57	创
58	飽
59	垄
60	蚯
61	薯
62	耗
63	咳
64	影
65	需
66	廚
67	潜
68	烘
69	陶
70	剧
71	劳
72	颤
73	沼
74	唐
75	系
76	劣
77	守
78	登
79	荐
80	緒
81	膚
82	勵
83	散
84	耶
85	验
86	枚
87	洗
88	传
89	錢
90	於
91	福
92	寧
93	犢
94	紹
95	吸
96	懂
97	袋
98	嚮
99	稻
100	别
101	貸
102	墟
103	留
104	乏
105	館
106	囑
107	幕
108	諜
109	策
110	焉
111	泄
112	初
113	萬
114	构
115	兒
116	虎
117	譽
118	爐
119	董
120	兑
121	旷
122	難
123	卧
124	恰
125	嗨
126	斷
127	柄
128	砸
129	！
130	夹
131	窩
132	涨
133	挣
134	亭
135	八
136	律
137	起
138	目
139	绕
140	衡
141	佛
142	磕
143	丰
144	烁
145	？
146	坐
147	國
148	肤
149	臊
150	抹
151	谷
152	星
153	懊
154	喘
155	诉
156	嘈
157	弹
158	号
159	市
160	因
161	懷
162	叠
163	码
164	鲸
165	讶
166	賜
167	填
168	厨
169	跟
170	蟑
171	度
172	技
173	凑
174	黑
175	嗎
176	男
177	鋼
178	裸
179	壁
180	辕
181	剃
182	廉
183	獅
184	魂
185	泣
186	葛
187	遲
188	毒
189	霸
190	针
191	机
192	紉
193	玻
194	骆
195	偽
196	写
197	教
198	愚
199	宜
200	耳
201	羞
202	醫
203	抨
204	稀
205	鎮
206	趁
207	燙
208	捞
209	严
210	玫
211	蘋
212	协
213	见
214	滥
215	渴
216	睁
217	膩
218	揚
219	咀
220	弃
221	选
222	斜
223	彼
224	閤
225	鷹
226	官
227	巨
228	邦
229	善
230	动
231	迪
232	磅
233	觉
234	爆
235	是
236	破
237	硬
238	材
239	淋
240	砍
241	毆
242	看
243	穌
244	罕
245	溼
246	掉
247	升
248	冊
249	丹
250	糕
251	崩
252	錫
253	浅
254	补
255	采
256	逻
257	構
258	仿
259	好
260	盡
261	約
262	祖
263	耀
264	烈
265	嗜
266	曉
267	鏡
268	碾
269	誠
270	宵
271	桃
272	真
273	缓
274	參
275	雕
276	戶
277	奖
278	及
279	牵
280	不
281	輯
282	骸
283	殘
284	衷
285	麻
286	妈
287	课
288	冒
289	经
290	F
291	咒
292	厘
293	屆
294	伴
295	摆
296	懲
297	棟
298	轻
299	灵
300	當
301	級
302	券
303	馬
304	涸
305	災
306	子
307	鸽
308	懼
309	劈
310	浑
311	飾
312	疲
313	腋
314	仆
315	李
316	灰
317	军
318	逼
319	左
320	鉛
321	膠
322	櫥
323	忽
324	篮
325	幢
326	务
327	欠
328	谁
329	群
330	舞
331	美
332	再
333	仰
334	陪
335	捉
336	彗
337	嚇
338	夕
339	·
340	麥
341	頓
342	捐
343	博
344	泉
345	梨
346	啥
347	畝
348	7
349	販
350	互
351	行
352	想
353	冰
354	片
355	續
356	褐
357	反
358	爬
359	娶
360	灾
361	裝
362	現
363	逗
364	苏
365	雲
366	措
367	襯
368	錯
369	營
370	烧
371	济
372	覺
373	湘
374	閱
375	啃
376	追
377	幺
378	包
379	奈
380	现
381	雾
382	鼓
383	礙
384	。
385	财
386	鼠
387	捏
388	磁
