2228	125,384
2228	1160,259,384
3285	1160,537,426,3255,384
3410	2076,2076,129
2057	1160,259,384
1176,6429	447,1000,2557,384
1176,5251	1000,1422,862,384
6256,3692	280,1518,517,384
3722	2458,588,642
5396,2648	1160,96,862,2077,145
4681,6624	2157,426,862,384
5146,5864	459,2250,2557,384
1176,5141	1000,7,2419,862,384
1176,6142	1000,1381,2333,384
1379,5111	1000,2778,1601,384
5249	1316,3409,384
1074,4987	280,1734,2296,129
1074,4987	1835,1070,129
4575	1160,3368,3410,145
2127,2648	1380,1380,517,384
5666,6429	1000,1908,2557,1380,1380,384
2709,2870	587,1469,2118,235,1000,145
6218,182	2552,542,3310,747,384
4627,4398	2052,448,1834,384
4627,6307	766,1514,1834,384
4627,2920	1586,229,1834,384
4627,4017	1275,470,1834,384
4274,2870	2585,75,1000,384
4274,4375	2585,75,1000,1908,384
1882,5864	2250,2557,384
3713,182	879,1736,3310,747,384
3713,3452	2284,2333,2552,129
3713,3452	2333,2552,129
6418,5849	3092,1014,129
6418,5849	2284,129
6418,5849	3092,1014,129
5290	332,213,129
5290	1638,2636,129
4499,4732	2076,1904,1410,129
4681,7053	2157,2557,862,384
4681,307	2157,426,384
4037,2870	2132,1000,1904,1410,384
4037,4375	2132,2132,1000,1908,517,129
1822,4732	1669,1605,384
1690,182	2833,2833,3310,747,129
1176,6802	1000,40,2629,384
1379,3810	1000,1454,1180,862,384
1379,5883	1000,1404,862,384
6823,5111	1835,2619,75,384
6823,2870	235,1000,384
3611,4375	2557,2498,2708,1000,1908,517,384
1047,2648	103,3409,517,384
990,2870	622,1000,384
3698	1357,331,129
3445,1653	332,213,129
2254,3652	3259,3070,129
4635,2648	280,704,1706,384
4161,2648	1828,3092,517,384
3601,3652	1868,1868,129
6832,3652	2552,1273,87,1904,1410,384
5666,4767	1000,1908,2924,1655,384
6902	711,591,384
6791,5251	328,1422,862,145
2709,1198	587,1469,2118,280,145
3541,4450	1160,426,384
3517,832	1662,2838,1381,1834,384
4627,6507	448,448,3255,2919,100,230,384
437,2870	1000,1904,2685,2926,2924,384
4553,4432	1340,2157,2836,2657,384
170,4732	1662,491,2393,384
3713,5849	3092,1014,129
3713,5849	2284,129
3713,1116	629,1410,129
3713,5141	2284,129
3713,1632	1868,1868,517,384
5430,3356	3129,2226,259,129
5430,3356	3244,3255,259,129
2907,182	2512,2560,3310,747,384
2907,4432	2512,2560,2157,384
5951,4082	2520,2226,1014,881,384
4681,6788	2157,2557,1380,1380,384
6389,2870	1160,2150,420,862,1000,3255,2629,517,384
3327,3652	1149,1527,642
3327,3652	1527,1834,129
1176,4352	1000,1360,862,384
1176,4586	1000,1695,220,384
2817,2324	1000,30,2678,89,384
1379,4538	1000,1421,2470,384
1379,5217	1000,2052,384
1379,6271	1000,1421,259,384
1379,1628	1000,1505,58,862,384
1379,5202	1000,1454,1180,862,384
1379,5202	1000,1180,862,384
1379,2782	1000,1272,306,1962,384
3547,2870	447,1000,1904,1272,2195,2313,1518,3331,384
6090,3175	3092,517,384
6090,3175	1000,1147,1014,1851,517,129
6090,3175	1000,1147,3092,517,642
3811,3452	1225,881,129
853,307	500,426,384
1725,3652	137,669,384
2165,5251	2157,1908,1422,862,384
182,6395	3310,747,2552,3382,862,384
182,6142	3310,747,280,3244,862,384
182,654	3310,747,2787,2493,862,384
5601,2870	685,631,1000,384
2127,645	3009,2019,384
2127,6849	1380,1380,517,384
6791,6395	328,1589,862,145
379,3097	3242,2973,2602,351,384
4274,3733	1245,3167,3000,518,1204,129
1389,4432	2512,2560,2157,384
1882,3733	518,1204,517,384
3156,2648,3164	362,1717,2150,3129,384
6262,7046	2053,1518,1311,384
1489,1780	100,407,384
1505,2870	1018,280,137,384
5513,3072	2557,1350,3378,1904,1410,2628,1272,384
4239,2870	1548,169,1000,2557,384
4239,4375	1548,169,3409,1000,1908,384
5430,1934	1378,1160,259,2362,384
2907,3650	2512,2560,796,1272,384
2907,3072	2512,2560,2628,1272,384
6040,832	1594,3076,137,2557,384
6932,922,4872	2157,235,1904,1272,2088,1677,1511,2088,384
6932,3534	2157,1421,2,384
1822,6859	1748,2368,384
1822,3072	1000,2560,2628,1272,384
